typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","126264929",,"126264929","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","384","CIV","Côte d'Ivoire","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","79590442",,"79590442","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","388","JAM","Jamaica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","278",,"278","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","155688306",,"155688306","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","400","JOR","Jordan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1332183",,"1332183","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","404","KEN","Kenya","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","782995",,"782995","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","408","PRK","Dem. People's Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","212789",,"212789","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","55222982",,"55222982","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","414","KWT","Kuwait","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","357636",,"357636","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","208",,"208","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","422","LBN","Lebanon","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5070361",,"5070361","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","426","LSO","Lesotho","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4179",,"4179","0","true","false",
