partner,total_trade_2015,total_trade_2023,abs_change,pct_change,avg_annual_growth_pct,share_2015_pct,share_2023_pct,change_in_share_pp,status
Lao People's Dem. Rep.,208.0,0.0,-208.0,-100.0,-100.0,2.0615576938864285e-06,0.0,-2.0615576938864285e-06,declining
Tajikistan,229.0,0.0,-229.0,-100.0,-100.0,2.269695730288424e-06,0.0,-2.269695730288424e-06,declining
Timor-Leste,422.0,0.0,-422.0,-100.0,-100.0,4.182583398173428e-06,0.0,-4.182583398173428e-06,declining
Afghanistan,463.0,0.0,-463.0,-100.0,-100.0,4.588948135910656e-06,0.0,-4.588948135910656e-06,declining
Somalia,503.0,0.0,-503.0,-100.0,-100.0,4.985401538581124e-06,0.0,-4.985401538581124e-06,declining
Turkmenistan,569.0,0.0,-569.0,-100.0,-100.0,5.639549652987394e-06,0.0,-5.639549652987394e-06,declining
"China, Macao SAR",645.0,0.0,-645.0,-100.0,-100.0,6.392811118061282e-06,0.0,-6.392811118061282e-06,declining
Fr. South Antarctic Terr.,707.0,0.0,-707.0,-100.0,-100.0,7.007313892200506e-06,0.0,-7.007313892200506e-06,declining
Mongolia,1174.0,0.0,-1174.0,-100.0,-100.0,1.1635907368378209e-05,0.0,-1.1635907368378209e-05,declining
Cuba,1841.0,0.0,-1841.0,-100.0,-100.0,1.8246767857908246e-05,0.0,-1.8246767857908246e-05,declining
Saint Helena,3125.0,1268.238,-1856.762,-59.416384,-10.660433154027738,3.097292208363024e-05,9.561225899842979e-06,-2.1411696183787263e-05,declining
Malawi,7451.0,5653.526,-1797.4740000000002,-24.12392967386928,-3.39199722926653,7.384935758244125e-05,4.2621841654827935e-05,-3.122751592761332e-05,declining
Papua New Guinea,6303.0,0.0,-6303.0,-100.0,-100.0,6.247114492579885e-05,0.0,-6.247114492579885e-05,declining
Tokelau,15999.0,11326.784,-4672.216,-29.203175198449905,-4.225096619193492,0.00015857144973312009,8.539244254053818e-05,-7.317900719258191e-05,declining
Myanmar,23888.0,9656.126,-14231.874,-59.57750334896183,-10.704845770527172,0.00023676197207480297,7.279737872808352e-05,-0.00016396459334671945,declining
Bolivia (Plurinational State of),17679.0,0.0,-17679.0,-100.0,-100.0,0.00017522249264527968,0.0,-0.00017522249264527968,declining
Andorra,25249.0,9847.74,-15401.26,-60.9975048516773,-11.103113845731782,0.0002502512991006656,7.424195359460898e-05,-0.00017600934550605663,declining
Zimbabwe,25384.0,2632.531,-22751.469,-89.62917191931926,-24.668488867321102,0.00025158932933467843,1.984660890096302e-05,-0.0002317427204337154,declining
Kyrgyzstan,30490.0,0.0,-30490.0,-100.0,-100.0,0.00030219660618556357,0.0,-0.00030219660618556357,declining
New Caledonia,37250.0,2908.78,-34341.22,-92.19119463087249,-27.293527448504975,0.00036919723123687246,2.1929245672299096e-05,-0.0003472679855645734,declining
Comoros,35594.0,0.0,-35594.0,-100.0,-100.0,0.0003527840603663151,0.0,-0.0003527840603663151,declining
Barbados,37376.0,41.554,-37334.446,-99.88882170376712,-57.26807063983532,0.0003704460594552844,3.132749381757014e-07,-0.00037013278451710873,declining
Honduras,42601.0,522.854,-42078.146,-98.77267200300463,-42.307404165721096,0.0004222327851791142,3.941787903087986e-06,-0.0004182909972760262,declining
Armenia,48042.0,0.0,-48042.0,-100.0,-100.0,0.00047616035927736447,0.0,-0.00047616035927736447,declining
