partner,total_exports,total_imports,total_bilateral_trade,pct_share_total_trade
Ireland,53833651.79,304718970.251,358552622.041,0.3856197869406405
Saudi Arabia,23418006.015,307813282.389,331231288.404,0.3562359637348256
Greece,23699897.189,243064969.39000002,266764866.57900003,0.28690296678873356
Tunisia,16100141.627,249498105.82999998,265598247.457,0.2856482794998617
Algeria,51379383.688,195273532.164,246652915.852,0.26527276336096567
New Zealand,36990023.312,199384026.541,236374049.85300002,0.2542179449804365
Hungary,58639323.640999995,139772502.421,198411826.062,0.2133899500079039
Finland,11321929.651,180230111.51,191552041.16099998,0.20601231941933226
Sweden,3189623.635,184533024.881,187722648.516,0.2018938456302657
Guinea,4103737.361,181546321.704,185650059.065,0.1996647962428688
Pakistan,59456884.00000001,114753212.773,174210096.773,0.187361230321252
Angola,14023246.537,152392967.801,166416214.338,0.17897898710429558
Liberia,6524341.5370000005,158825353.616,165349695.153,0.1778319563043346
Oman,2306452.232,161045618.863,163352071.095,0.1756835314531969
Myanmar,131032.083,126495275.31799999,126626307.401,0.13618533704508806
Mexico,15527336.339000002,104958670.775,120486007.11400001,0.12958150501913307
Saint Barthélemy,217.84,117758834.55700001,117759052.39700001,0.12664869228168762
Uruguay,14731168.896,92201651.53400001,106932820.43,0.11500518723431104
Estonia,3714432.6720000003,102813917.725,106528350.397,0.11457018372754124
Dem. Rep. of the Congo,101953786.549,520138.765,102473925.314,0.11020968978449468
Denmark,11583870.281,89021148.401,100605018.682,0.10819969924770428
Antigua and Barbuda,585472.947,97682221.834,98267694.781,0.10568593058640073
Czechia,1401190.9649999999,92380445.47299999,93781636.438,0.1008612193554977
"China, Hong Kong SAR",1008825.8640000001,92525028.49399999,93533854.35799998,0.10059473218730071
Malta,67765135.70899999,23349638.952,91114774.66099998,0.09799303597869537
Kuwait,51386517.79,39237640.589999996,90624158.38,0.09746538303706609
Austria,2544734.762,85597823.934,88142558.696,0.0947964472028537
Lebanon,14816708.78,64224949.664000005,79041658.444,0.08500851929378668
Lithuania,6033909.866,71274904.22299999,77308814.08899999,0.0831448623857081
Namibia,3701440.989,69710631.488,73412072.477,0.07895395545096441
Romania,9911031.44,60581360.458,70492391.898,0.07581386796143558
Peru,438277.153,66719110.479,67157387.632,0.07222710396796521
Jamaica,19378.0,66165330.022,66184708.022,0.07118099669970818
Chile,115684.58899999999,65499564.486,65615249.075,0.07056854925318395
Qatar,2577870.4189999998,58507435.08,61085305.499,0.06569663988968054
Latvia,302494.636,60077849.155,60380343.791,0.06493846056835018
Ghana,20015641.677,38108575.495,58124217.172,0.06251201877808374
Australia,2337647.989,42255489.21,44593137.199,0.04795947654156825
Israel,1419091.853,42550489.661,43969581.514,0.04728884859014909
Bulgaria,9511319.766,31374006.18,40885325.946,0.04397176233309574
Slovenia,5979453.105,32115410.013,38094863.118,0.04097064725248676
Benin,25569683.973,12488489.033,38058173.006,0.04093118740112176
Philippines,942448.603,32845741.905,33788190.508,0.03633886359730717
Luxembourg,1048277.545,32615338.615000002,33663616.160000004,0.03620488512223542
"Areas, nes",363737.784,32389790.542999998,32753528.327,0.035226094689018064
Curaçao,31487508.0,273578.507,31761086.507,0.034158733360014536
Guatemala,107059.367,29626946.871,29734006.237999998,0.0319786286462524
Jordan,8359019.799000001,20794312.766999997,29153332.566,0.031354119874278975
Mauritius,13181533.211,15360059.486,28541592.696999997,0.030696199715714627
